,Building,Main Location,Price(Cr),Bath(s),Area(Marla),Bedroom(s),Description,luxury_type,Parking Spaces,Floor,Elevators,Floor in Building,Servant Quarters,Kitchens,Store Rooms,Price per Unit,Property era,Floor Level,Building Type,Elevator Capacity
66,F-11,F-11,6.0,4.0,11.6,4.0,"F11 Markaz Apartment for sale Sughra tower ,front Facing ,corner Floor 4rth Size 2600sqft 4 bed rooms with attached bath Tv lounge Kitchen Drawing dinning Electricity Gas water available Central heating system installed Demand 6cr Natural lighting in rooms. 2 minute walk from F11 Markaz. Prime Location. All necessities available. Two garage parking spots included. Servant Quarter available for extra price. Rental value furnished, 350Lac/Non furnished 220Lac Slightly Negotiable. For more details or visit plz contact EarthvisionRealestate&builders",1,1.0,1.0,1.0,9.0,,,,0.5172413793103449,Modern Era,Ground/First Floor,Mid Rise Core,Single/None
67,Cube Apartments,Bahria Enclave,0.7,1.0,3.1,1.0,"Murree Facing Luxury Apartment For Sale 770sqft Cube Apartments, Sector A, Bahria Enclave Islamabad Location: Cube Apartments, Sector A Bahria Enclave Islamabad Size: 770sqft Bedroom: 1 Bathroom: 1 (Attached, Modern Design) Open Style Kitchen View: Breathtaking Margalla Hills View Construction: Solid, Designer Finish Building Amenities: 24/7 Security &Amp; CCTV Surveillance Murree Facing Fast Elevators &Amp; Backup Generator Basement Car Parking Lobby &Amp; Reception Area Well-Maintained Common Areas Gated Community With Full Bahria Facilities Location Highlights: Located In Cube Apartments Walking Distance To Masjid, Park &Amp; Commercial Nearby Schools, Clinics, Grocery Stores &Amp; Restaurants Peaceful Neighborhood With Clean Surroundings Ideal For: End-Users Looking For Modern And Peaceful Living Investors Seeking Strong Rental Yield And Capital Appreciation Small Families, Couples, Students, Or Long Term Rental Income",0,1.0,5.0,5.0,9.0,0.0,2.0,0.0,0.2258064516129032,Brand New (2025),Lower Floors,Mid Rise Core,High-Capacity
69,El Cielo,GT Road,1.4,3.0,6.3,3.0,"Accommodation Details: Size: 1414 Sq. Ft 3 Bedrooms with Attached Baths TV Lounge & Sitting Area Separate Kitchen Store Room Spacious Balcony Features & Location Highlights: Located in El-Cielo Tower B, Defence Residency 24/7 Security, Electricity, Water Supply & Lifts Under-roof Car Parking Peaceful Family Environment Nearby Landmarks: Walking Distance to Giga Mall and G. T. Road Close to Mosque, Commercial Areas, Schools, and Parks",0,3.0,3.0,2.0,10.0,0.0,1.0,1.0,0.2222222222222222,Recently Built,Lower Floors,Mid Rise Core,Dual Setup
70,Residency,DHA Phase 2,0.78,2.0,3.6,2.0,"This is two bedrooms with Attached Bathrooms, TV Lounge, Store room and Kitchen. No Issue Of Electricity, Water And Gas Connections (Cylinder provided by Management). Covered Area 804sqFt. Ready to live and already rented 30P. m All Facilities are available: Lift Elevator Service Available With 24 7 with Electricity Power Backup Security Services 24 7 Gated Community 2 Family Parks Water Filtration Plant On Walking Distance Masjid On Walking Distance Commercial area On Walking Distance Imtiaz Mart Punjab Cash & Carry (20,000 Grocery Items) Carry fort ( Over 30,000 Items ) World Trade Center (Carry fort, National And International Brands, Gloria Jeans, Food Court Etc) APS School, Roots Ivy University Etc For More Information Please Call on",0,1.0,1.0,2.0,1.0,,,,0.21666666666666667,Recently Built,Ground/First Floor,Ground/Flat,Dual Setup
71,Residency,DHA Phase 2,1.1,2.0,5.1,2.0,"A well-maintained 2-bedroom corner apartment is available for sale in Block-14, Defence Residency DHA Phase 2. Apartment Details: Size: 1150 Sq. Ft 2 Bedrooms with attached bathrooms Spacious TV lounge and sitting area Modern kitchen 2 terraces for open views and ventilation Building Amenities: 24/7 Security 24/7 Electricity 24/7 Water Supply Under-roof car parking Prime Location Walking Distance to: Mosque Commercial area School Giga Mall Main G. T. Road For more details or to schedule a visit, please feel free to contact.",0,2.0,5.0,2.0,8.0,1.0,1.0,1.0,0.21568627450980396,Recently Built,Lower Floors,Mid Rise Core,Dual Setup
85,Eighteen,Kashmir Highway,6.0,4.0,9.8,3.0,"Live in one of Islamabads most prestigious communities with this ready for possession, fully furnished 3-bedroom ground floor apartment in Eighteen Islamabad. Overlooking the golf course, this 2,207 sq. ft. apartment offers unmatched luxury, peace, and convenience ideal for families and investors alike. Project: Eighteen Islamabad Type: 3-Bed Furnished Apartment Size: 2,207 sq. ft. View: Full Golf Course Facing Floor: Ground Floor Bedrooms: 3 Bathrooms: 4 (Attached) Parking: Reserved Covered Parking Furnishing: Fully Furnished with Premium Interior Status: Ready for Possession Apartment Features: Elegant and spacious design with top-tier furnishings Large windows and private terrace with lush golf views Fully equipped kitchen with built-in appliances Stylish bathrooms with imported fittings Central heating and air conditioning Secure, private, and ideal for families or elderly residents Eighteen Amenities: 18-Hole Golf Course Gym, Spa, Swimming Pool & Clubhouse 24/7 Security with CCTV Restaurants, Retail Outlets & Parks Backup Power & Maintenance Services Ideal Location: 15 minutes to Islamabad Airport, direct access from Srinagar Highway Asking Price: PKR 5.80 Crore (Negotiable) Contact: Call/WhatsApp:",0,3.0,1.0,4.0,6.0,1.0,1.0,1.0,0.6122448979591836,Recently Built,Ground/First Floor,Mid Rise Core,Multiple Bank
88,Smama Star Mall & Residency,Gulberg Greens,1.53,2.0,3.4,2.0,Direct Owner Gulberg Greens & Residencia Islamabad Block B Main Gulberg Expressway Samama Star Mall Gulberg Potential Rent : 750000,0,1.0,1.0,3.0,10.0,1.0,1.0,2.0,0.45,Recently Built,Ground/First Floor,Mid Rise Core,Multiple Bank
89,E-11,E-11,0.95,2.0,2.7,2.0,E-11/3 Markaz Plaza No 19 2 Bed With Attached Bath 2nd Floor Multi Transfer Urgent Sale,0,2.0,2.0,1.0,4.0,1.0,1.0,1.0,0.3518518518518518,Modern Era,Lower Floors,Lower Levels,Single/None
90,F-17,F-17,0.75,2.0,4.9,2.0,"2 Bed Apartment Available. For Sale In F-17 Islamabad. In Win Win Plaza. In Main Markaz. 2 Bedrooms. 2 Baths. TV Lounge. Kitchen. Car Parking Spaces. Electricity , Water And Gas Available. Interested People Can Contact Easily.",1,1.0,1.0,1.0,4.0,1.0,1.0,1.0,0.1530612244897959,Recently Built,Ground/First Floor,Lower Levels,Single/None
94,DHA Phase 2,DHA Phase 2,0.8,1.0,2.0,1.0,"Redefine your lifestyle with elegant suites offering designer interiors, and world-class amenities. Enjoy 24/7 security, high-speed elevators, and exclusive community facilities all in the heart of DHA Islamabad, managed and operate by MARRIOTT INTERNATIONAL RENTAL AMOUNT from first day. DHA and CDA APPROVED",0,1.0,5.0,1.0,10.0,,,,0.4,Recently Built,Lower Floors,Mid Rise Core,Single/None
103,E-11,E-11,0.8,2.0,4.7,2.0,"Al-Mustafa arcade street 15 E-11/4 near to Qurtaba Heights and apollo tower semi-Furnished 2 bed spacious apartment for sale very reasonable price rental value : 65 to 70 thousand per month, 2nd floor separate electric wapda meter , underground car parking grab this opportunity, for visit contact",0,1.0,2.0,1.0,6.0,,,,0.1702127659574468,Modern Era,Lower Floors,Mid Rise Core,Single/None
104,Capital Heights,G-11,3.05,2.0,6.4,2.0,Capital Height G-11/3 2 bedroom Brand new Apartments for sale Size 1435 square ft Tv Lounge Kitchen Demand 3.30 Crore,0,1.0,2.0,4.0,12.0,2.0,1.0,1.0,0.47656249999999994,Brand New (2025),Lower Floors,Mid Rise Core,Multiple Bank
106,Top City 1,Top City 1,0.45,1.0,2.1,1.0,"Top City-1 Islamabad is a Prestigious Housing Society located in the Heart of Islamabad, just Top 5 minutes' drive from Zero Point. It is a well-planned Community with wide Roads, Beautiful Parks, and Modern amenities. The society offers a unique blend of luxury and affordability, Making it an Attractive option for Families and Investors alike. Kashmir Highway 2 km Metro Station 2 km M1 one Near mint drive away M2 one mint drive away CPEC 3 mint drive away Islamabad International Airport 2 mint drive away Thaliana interchange Top 5 mint drive away GT Road 5 mint drive away All bus Terminals like Daewoo ,Faisal Movers,Skyways,Road Master ,Kohistan etc. 6 mints drive away Quaid e Azam am International Hospital 7 mints drive away Zoo, School, Park ,Playgrounds ,Community Centre ,Mosque ,Golf Club, Commercial Market 2km Contact",0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.21428571428571427,Brand New (2025),Ground/First Floor,Ground/Flat,Single/None
107,PHAF Officers Residencia,Kuri Road,1.25,2.0,5.2,3.0,"Experience comfortable living in this beautiful 3-bedroom apartment available for sale in the PHA Flats, a secure and well-maintained community. This elegant flat features 2 modern bathrooms, a spacious TV lounge, a fully equipped kitchen, and a balcony with an open scenic view. Perfect for families seeking a peaceful environment with easy access to main roads, schools, hospitals, and shopping centers. The building offers 24/7 security, reserved car parking, and a clean, well-managed setup. Ready to move in book your visit today and make this your new home!",0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,0.24038461538461536,Recently Built,Ground/First Floor,Ground/Flat,Single/None
108,F-11,F-11,1.3,2.0,4.4,2.0,F11 Markaz Abu Dhabi Tower Two Bedroom Big TV lounge kitchen unfurnished Floor basement Underground Parking Lift Backup Generator Walking Distance Park And Market Original Picture Uploaded More Detail Please Contact Raja Danish,0,1.0,1.0,4.0,6.0,,1.0,,0.2954545454545454,Recently Built,Ground/First Floor,Mid Rise Core,Multiple Bank
109,DHA Phase 5,DHA Phase 5,4.1,5.0,13.3,4.0,4 bed flat almost 3000 sq fit brand new Block 10 Dream location Askari heights 4 sector J with servant quarter and laundry Panoramic view of sector J helicopter playing courts green belts plus river Backed by the security management of dha Ideal buying for end user Direct deal with owner Exclusive listing Call please for further details,0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,0.3082706766917293,Future,Ground/First Floor,Ground/Flat,Single/None
113,Park View City,Park View City,1.78,1.0,2.4,1.0,Lake Harbour 2 project is located on A-Com plot 07 near to Main gate Downtown Park View City Islamabad. Project Of Foursquare Developers 151 lac is Full cash rate. 165 lac on 6 months time with 50% dp 175 lac on Year time with 30% dp 182.92 lac on 2 years time with 20% dp Project will be delivered in 1 year time.,0,2.0,3.0,1.0,3.0,1.0,2.0,1.0,0.7416666666666667,Recently Built,Lower Floors,Lower Levels,Single/None
134,Ghauri Town,Ghauri Town,0.7,1.0,2.0,1.0,Furnished Apartment is available for sale on main expressway Islamabad 1 bed 1 bath Lounge Kitchen Car parking Lift installed 24/7 Security Ghauri town phase 5 On main expressway Islamabad Land mark height Near to koral chowk Solar system installed Contact us for more information and direct deal.,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.35,Modern Era,Ground/First Floor,Ground/Flat,Single/None
149,DHA Phase 4,DHA Phase 4,2.9,2.0,6.7,2.0,"1,2 and 3 Bed Apartments Available on 4 years Installments Plan All apartments are with DHA allotment letter DHA Transfer More then 20 amenities available in building with dedicated 4 floors car parking purely located in the heart of DHA 4 Overseas BLOCK for more information connect us any time",1,1.0,1.0,4.0,22.0,1.0,1.0,,0.43283582089552236,Future,Ground/First Floor,High Rise,Multiple Bank
150,Al-Ghurair Giga,Al-Ghurair Giga,1.55,3.0,7.3,3.0,"This is three bedrooms with Attached Bathrooms, Store room, Tv Lounge, and Kitchen. No Issue Of Electricity, Water And Gas Connections. Covered Area 1650sqFt. Lift Elevator Service Available With 24 7 with Electricity Power Backup Security Services 24 7 Gated Community 2 Family Parks Water Filtration Plant On Walking Distance Masjid On Walking Distance Commercial area On Walking Distance Imtiaz Mart Punjab Cash & Carry (20,000 Grocery Items) Carry fort ( Over 30,000 Items ) World Trade Center (Carry fort, National And International Brands , Gloria Jeans , Food Court Etc) APS School , Roots Ivy University Etc For More Information Please Call on",0,1.0,1.0,2.0,1.0,,,2.0,0.2123287671232877,Recently Built,Ground/First Floor,Ground/Flat,Dual Setup
153,Residency,DHA Phase 2,0.76,2.0,3.6,2.0,"Defence Residency DHA-2 Islamabad Two Bedroom Apartment For sale Two Bedroom attach Bathroom, Tv lounge, Kitchen and Terrace. 4th floor Area 804 sq. ft. Price = 7700000/- All Kind Of Facilities Are Available Self Car Parking, Adjacent To Park Water Filtration Plant, Children Park, Shopping Center, Massive Security System, Gated Community, Backup Generator, 24 Hours Security. near Park, Punjab Cash And Carry, Giga Mall. 24 Hours Power Backup, Very Good Environment. Backup generators system Seating Area and Garden Area on roof for residents of building only. 24 hours CCTV Camera and surveillance. At a walking distance from Giga Mall. Directly connected with podium where you can enjoy club facilities. SALIENT FEATURES Spacious Entrance Lobby. 24/7 Water Supply System. Broadband & Internet Access. 24/7 Video Surveillance of Parking & Entrance Area From Each Apartment. 24 Hours Lift with Backup Generators. Reserve Car Parking. RFID System For Residents. Fire Fighting System / Security System Guard Room & 24/7 CC TV Camera Monitoring. Reception for Visitors & Guests. Emergency Exits. Maintenance Staff. Security Staff. For more information contact please on above written cell No.",0,1.0,1.0,1.0,1.0,0.0,2.0,0.0,0.2111111111111111,Brand New (2025),Ground/First Floor,Ground/Flat,Single/None
154,Goldcrest Views,DHA Phase 2,2.68,2.0,6.8,2.0,"Goldcrest Views Is A Luxury Project Of Giga Group In DHA Phase 2 Islamabad Having World Class Amenities On Rooftop As Well As On Podium. Fastest Construction Work In Progress On Site Goldcrest Views-1 Tower D Two Bedroom Apartment Floor 9th Size 1532 sq. ft *Total price 26,810,000/-* *Upfront payment 13,000,000/-* Quarterly Installment = 1,096,000/- Possession end of 2027 *Model Apartment Can Be Visited At Giga Mall World Trade Center. *Margalla Facing Apartment. *Avail This Opportunity Before Its Too Late. Goldcrest Views Is Located At The Prime Address Of Downtown Giga. It Is A Centrally Connected Place On The Main G. T. Road. It S A Place Where The Best Health And Education Facilities Are Always Available. Plus, The Biggest Shopping Mall In Islamabad Giga Mall, And The Unique D-Mall Is Just A Walking Distance Away. Moreover, Its Strategic Location Is Easily Accessible From Rawalpindi As Well As Islamabad. This Is Because It Is Located In The Heart Of Twin Cities. *Goldcrest Views Islamabad Features* The Facilities Available To Each And Every Home Owner In Goldcrest Views Start From The Podium Level And Reach The Sky. So, Each And Every Home Owner Will Have Exclusive Access To Their Own Roof Top Facilities, With Expansive Views Of Margalla Hills. Some Of The Unmatchable Facilities Provided By This Project Are: *Rooftop Amenities* Swimming Pool, Children Play Areas, Juice Bar/Relaxation Lounge, Health Club, Gymnasium, Sauna/Steam Room, Shower Areas, Seating Area &Amp;Amp; Garden. *Podium Level* Mosque, Children Play Areas, Barbeque Area, Jogging/Walking Track, Water Bodies &Amp;Amp; Fountains, Daycare Center, Indoor Sports, Bakery/Library/Tuck Shop *Standard Features* Studio, 1, 2, 3, 4-Bed Luxury Apartments &Amp; Amp; Penthouses, Community Center, Power Backup, Covered Car Parking, 24-Hours CCTV Security And Surveillance, Fully Furnished Apartments (Optional), Prime Location Of DHA 2 Islamabad. For More Information Contact Please On Above Written Cell No.",0,1.0,9.0,5.0,40.0,,1.0,,0.3941176470588236,Future,Mid-Level,Skyscarper,High-Capacity
155,Goldcrest Views,DHA Phase 2,1.25,2.0,6.0,2.0,"Luxury Apartment In Prime Location In DHA Phase 2 Islamabad. Goldcrest Highlife-1 Two Bedroom Apartment Floor 26th Area 1353 Sq. Ft Total Price Rs. = 12,500,000/- Upfront payment = 10,200,000/- Quarterly Installment = 325,000/- Grey Structure 100%Complete Possession In 2027 Highly recommended for investment also for Good ROI Goldcrest Highlife Is Another Mega Project By The World Renown Giga Group. This Project Is Being Developed 1 Km Inwards From The Main GT Road And Giga Mall In Sector A, DHA 2, Islamabad. Goldcrest Highlife Is A Real Estate Luxurious Investment And Lifestyle Project, With Standout Features. This Project Is Launched And Developed By Giga Group In The Heart Of Sector A, DHA Phase-II Islamabad. Goldcrest Highlife Offers Striking Architecture, World-Class Amenities, And Breathtaking Views. Each Unit Offers Breathtaking Views With Matchless Interior Finishes And Thoughtful Details With Only The Finest Materials Used In The Development, Offering A Unique And Unheard-Of Luxury Experience For The First Time In Pakistan. All The World-Class Features And Facilities Are Available In Goldcrest Highlife. The Rooftop Facilities Of Goldcrest Highlife Include Kids Playing Areas, Gyms, Gardens, Swimming Pools, Relaxation Areas, Health Clubs, And Sitting Areas. The BBQ Areas, Jogging Walking Tracks, Sitting Areas, A Mosque, And Fountains Are Also Available On The Rooftop For The Owners Of The Residential Units. Rooftop Amenities Infinity Swimming Pool, Relaxation Lounge, Juice Bar, Health Club, Gymnasium, Seating Area &Amp; Garden. Podium Level Mosque, Children Play Areas, Barbeque Area, Jogging Track, Water Bodies &Amp; Fountains, Garden. Standard Features 1, 2, 3-Bed Apartments, Community Center, Power Backup, Covered Car Parking, 24-Hours CCTV Security And Surveillance, Fully Furnished Apartments (Optional), Prime Location Of DHA 2 Islamabad. For More Information Contact Please On Above Written Cell No.",0,1.0,26.0,5.0,34.0,,1.0,,0.20833333333333334,Future,High-Rise,Skyscarper,High-Capacity
